userName,content,score,at
Heri Haerudin,"BNI mobile banking Buruk sekali sangat sangat buruk. Log in nya susah log in ber kali kali ,sampai di ulang lagi besok hari nya tetep gak bisa log in , padahal udah di cek di periksa berkali kali sampai di catat di tulis takut salah pijit angka atau hurup.terus pulsa sampai di tambah beli 2 x .tetep aja gak bisa log in sya kira emang server nya atau system nya yg buruk. Kalau begini cara nya bnyak yg kabur pindah ke bank lain. Semoga jadi perhatian pihak BNI.",1,2024-10-08 08:32:47
Harri Fathurahman,Orang lagi usaha keganngu gara maintanance mulu,1,2024-10-08 08:05:44
Ekasari Abdroni,"Gx bisa login ,perbaikan terus dx sudah2 perbaikannya",1,2024-10-08 07:54:23
Mohammad Zaini,Semoga di pakainya lancar,4,2024-10-08 07:34:25
Aldo Bareto,Sangat bagus dan sesuai kebutuhan,5,2024-10-08 05:43:07
Jack rabbit,"Transaksi VA gagal terus, payah pengembangnya. Digaji penuh pake duit nasabah tapi UX nya jelek banget, setor tunai juga belum bisa sudah hampir 3 bulan alasannya masih dalam pengembangan. Payah",1,2024-10-08 05:27:53
Achmad Maulana,"Ini gimana, saya transfer ke rekening lain dengan nominal yg besar. Saldo belum masuk di rekening penerima tapi saldo BNI saya sudah terpotong... Mau komplain via ""Chat Us"" di aplikasi ini, tapi tidak ada jawaban sama sekali dari kemarin... Ini gimana sistemnya tolong dong diperbaiki layanannya",1,2024-10-08 02:44:14
Andrilla Maharani,"Susah mau buat rekening baru, perbaikan trsssss",2,2024-10-08 02:29:35
va ny,Susah banget login nya.. hp ku rusak dan mau pindah ke hp lain aja ribetnya minta ampun dh,1,2024-10-08 02:13:59
Angel Tegar,Sangat baik,5,2024-10-08 01:12:57
Siska Prisilia,Aplikasi mantap dan akurat...,5,2024-10-07 23:32:51
Novi Ainul Habibi,"Tidak bisa bayar bpjs lewat bni mbanking ini. Fiturnya sih ada, cuman waktu input kode VA nya selalu ""NOMOR VA KELUARGA TIDAK SESUAI"" sementara saya sudah berkali2 memeriksa kesalahan penulisan apakah saya sudah menginput kode ny sudah benar atau belum.. padahal di aplikasi lain bisa ..",2,2024-10-07 23:31:57
Ahmad Najib,"Aplikasi Penipuan, Alih Alih Menjual Iklan Rokok, & Menyalahkan Hanya pada 1 Seseorang & Melakukan Jual Beli Anak. (Jepang) Merek Daftar (R) Kementrian Kesehatan Pakdhe, & Saya Ngga Punya PKD yang Nama Depannya Huruf R tuh? Oh ya, Saya dapat Pesan Dari Bapak Saya, BossMu Suruh Ketemuan sama Aku!.",1,2024-10-07 18:03:31
Aldi Vratam,Untuk login makin susah Udh masuk mau melakukan transaksi kepental-pental.,1,2024-10-07 17:58:29
Dody Pedrosa,Hehe... Akibat Terlalu Sering Layanan Di Tingkatkan Akhirnya Sibanking Human Eror 🤦🏻‍♂️😁,3,2024-10-07 17:04:15
Fajar Syah,Dancokkkkk ganguan terussss ini banking,1,2024-10-07 15:50:53
doel cholik,"macam mana lah ini HP saya abis di balik ke setelan pabrik trus download ulang BNI mobile...susah kali login nya sampe 2 hari ini blom berhasil juga semalam udah di masukan otp yang muncul otp harus 4 angka padahal udah di copy paste di ketik manual masih ajah salah,,,harinini sudah berhasil lewati otp di suruh selfie buka mulut udah di kerjakan masih gagal katanya waktunya kelamaan padahal mulut udah mpe kering mangap....hari ini ujung ujungnya di suruh ke cabang...haduuuh.... Jayalah Indonesia",3,2024-10-07 13:04:03
Yohanes Diri,"Apk bangsat,bikin naik dara erorrrrrrrrrr melulu,taiii apa ni👎👎👎👎👎👎👎👎👎👎👎👎mkin ke sini mkin ga jelass asu",1,2024-10-07 12:50:09
muhammad yusuf,Costumer service lama masa nungu ampe 2 jam,1,2024-10-07 12:27:49
Arlinsyah Coker,Kalau bisa hadirin menu pinjaman di aplikasi😁,4,2024-10-07 12:13:14
Septiana Hardianti,"Kebiasaan gak bisa transfer, bukan memudahkan malah menyulitkan harus ke ATM jdnya percuma ada m bangking",3,2024-10-07 12:13:03
Supardi Supardi,Ok,5,2024-10-07 08:41:39
Roni Desta,Aku sudah pindah ke wondr👍👍,5,2024-10-07 08:27:45
Egi Lesmana,Payah ini mau login aja ga bisa ketutup wondr di pencet (x pun ga bisa payah aplikasi rusak,1,2024-10-07 07:43:54
Ria Susanti,"Mau Log in susahnya mintak ampun,pemberitahuan meningkatkan layanan trus,sangat menganggu",1,2024-10-07 07:36:16
KA gokil,Login susah bgt ribet bgt bikin pusing,1,2024-10-07 07:35:12
diko piliang,"Susah login, notifnya peningkatan layanan terus",1,2024-10-07 07:32:50
Jenova Rus,Mau daftar user id..aja susah banget.. Kayak dipersusah gitu... Padahal saya sudah sesuai tutorial... Atau jangan-jangan..saya harus ke kantor BNI terdekat..,1,2024-10-07 07:10:32
Eti Juhaetii,kenapa ya kalo setiap kali uang transferan masuk gak pernah ada notif,3,2024-10-07 06:59:58
Abdul Barik,Mantap,5,2024-10-07 04:25:11
Kadek Gandarini,Mobile banking paling bagus diantara mobile banking bank lain. Mudah dan aman.,5,2024-10-07 03:24:14
Wiea Sujeni,Oke,5,2024-10-07 03:16:15
Alfiyah Nurul fakhirah,Tolong dong sistem IT nya ditingkatkan lagi. Saya mau login tapi katanya lagi peningkatan apalah. Berkali2 mau login juga masih tetap sama. Susah sekali login bni sekarang.,2,2024-10-07 02:55:14
Fitry 2020,Ribet banget bkin BNI verifikasi muka sampe 5 hari berturut2 ngk lolos2 cape banget jelek banget,1,2024-10-07 02:46:46
alif agus,Saya ketipu di BNi 6juta saldo saya di BNi hilang,2,2024-10-07 02:41:35
Lea Anggara,"mau login aja susah, system' lagi di perbaiki jadi kesal",1,2024-10-07 02:30:47
Tedi alantika,"Login susah dan selalu eror. Padahal jaringan sinyal hp dan wifi lancar. Tertalu banyak biaya potongan perbulan saat ini. Mulai biaya ADM kartu, biaya Adm rek dan biaya saldo min. Bsgiku dan sebagian orang terlalu besar potongannya.",1,2024-10-07 00:12:18
Tika Sari,Sangat baikk,5,2024-10-06 23:44:52
rifky solihin,"Asli keseringan diperbaikin mana dadakan lho mending di kasih jadwal biar bisa siap""",1,2024-10-06 20:17:21
Ranggala Anggalara,aplikasi nyGK bisa dijalankan,1,2024-10-06 18:19:27
DANANG ARIS SETYAWAN,"Semenjak muncul apk wonder, untuk login BNI MBanking sangat susah sekali. Padahal kondisi sedang darurat untuk TF saat itu juga ternyata tidak bisa login. Sangat2 kecewa. Mohon untuk tim IT BNI untuk segera memperbaiki masalah2 seperti ini. Pasti semua nasabah mengeluh jika akan login ke aplikasi tidak bisa terus.",1,2024-10-06 13:52:11
Abe Gaus,Ok,5,2024-10-06 13:29:34
Aziz Muzzamil,Gabisa ngirim otp pas make fitur mobile tunai,2,2024-10-06 11:43:30
Deny Febriyanto,ga jelas banget lo.. mau aktifasi aja susahnya minta ampun.. masa udah ngetik pin no kartu dll. udah dpet otp dari WA dan Mpin dari email tapi kembali ke BNI mobile ga ada yang buat input.. malah kembali ke awal ngetik pin nomor kartu dll itu lagi.. gitu trus berulang ulang.. kalo udah dpet otp sama mpin dari email trus mau ketik dimana ? jidat??,1,2024-10-06 09:55:13
Atikah Tikah,Tolong dong di perbaiki masa top up sama transfer aja ngga bisa udah di coba berkali kali🙃 gagal karena perbaikan terus dari pagi sampai sore,1,2024-10-06 09:45:19
Sugi Arto,Cuma mau logggin,1,2024-10-06 09:32:19
Dimmas Pranata Gama,"Susah banget mau login, gimana mau bertransaksi???",1,2024-10-06 08:47:37
ami amcho11 Ami,Sudah 2 hari eror,4,2024-10-06 08:45:31
Yana Kosyana,Mau bikin mbanking malah ga bisa pas bikin user id form buat isi otp ga ada padahal otp sudah masuk ke email,1,2024-10-06 07:47:19
Nely Susan,"Kesel semakin di update malah semakin turun kualitas nya.mau login aja susah banget harus coba lagi karena masih masa perbaikan meningkatkan masa apalah itu,tolong dong di perbaiki buat kerja orang atau transaksi jadi lamban karena terhalang ga bisa login",2,2024-10-06 07:34:40
Doni Darma,"Pembaruan pembaruan system,pembarausn system..hampir sering terjadi..mau tf,cek saldo masuk gk bisa",1,2024-10-06 07:10:56
alll GaminG,BNI maksudnya gimana saya mau login aja susah perbaikan apa gua kaga bisa login ini udh berbulan bulan nyesel saya pakai BNI,1,2024-10-06 06:56:52
Safar Adista,Setiap mau login aplikasi ini selalu muncul layer aplikasi wondr supaya download dan install wondr. ..terkesan menaksa tapi membuat user tidak nyaman karena terus harus nutup layer tersebut untuk bisa login,3,2024-10-06 06:49:39
HILMAN N F,👍👌,4,2024-10-06 04:59:49
Lefi Haliano,"Susah login, tidak ada perbaikan dan tindak lanjut dari Bank ini. Si Rasya sudah membalas pesan ini dan memberi instruksi, rupanya menipu. Setelah saya ikuti, tak ada perubahan sama sekali. Kalian ini sampah masyarakat.",1,2024-10-06 03:26:58
Juanda,Waktu² ini gangguan terus ga bisa login,2,2024-10-06 03:04:39
Ainul Qalbi,"Bnyk bug , sdh masukkan kode otp 6 digit masih tidak bisa di konfirmasi dan masih ada notif ""kode otp harus 6 digit""",1,2024-10-06 03:04:13
Juwita Kirana,Kok makin lama makin jelek ya mbanking bni ini selalu gagal dan perbaikan sistem. Lebih baik tutup rekening aja kalau gini,1,2024-10-06 02:35:26
Jomo 2995,"Ntah ngapain ada apk wondr,, susah bet buat verifikasi wajah, enak pakai apk BNI mobile dari pada wondr, gak jelas apk nya, susah bet verifikasi wajah,",4,2024-10-06 02:25:09
Jef Ardi,"Mau masuk login aja susahnya setengah mati,selalu dalam masa perbaikan",1,2024-10-06 02:17:29
Welman Hasibuan,Semoga BNI hancur mau masuk aja gak bs bikin malu orang saja,1,2024-10-06 01:34:43
Aden chanel,Mantabbbb jdi serba mudah,5,2024-10-06 00:44:52
Jumes Dgreen,Mantap,5,2024-10-06 00:41:40
Maman Rukman,Transaksi jam 2 dini hari susah amat alasan aplikasinya sinyal sedangkan sinyal bagus tolong dong di update lagi aplikasinya .. lagi darurat susah mau transaksi juga ampun dah,1,2024-10-05 19:20:07
Darwis Sumanto,Saya kasih lima bintang karena ini kebun ku,5,2024-10-05 18:42:54
Yuliyanti Azzahra,tf uang dari luar negri dari tgl 3 sampe hari ini belum sampe²,1,2024-10-05 18:18:52
Ahmad faisal sururi,Aplikasi tolol banyak bangat kendala nya dongo,1,2024-10-05 17:56:21
gilang aga,Tidak bisa login sama sekali,1,2024-10-05 15:43:26
Holidi Holidi,Kok lama baru bisa di buka.loding trs,5,2024-10-05 15:36:17
Jeremia P,Aplikasi sampah!!! Saat mau dibutuhkan malah pemeliharaan dan peningkatan aplikasi! Udah gitu lebih dari 5 jam lagii duhhh sampahhh.....,1,2024-10-05 15:24:18
Politik Kol,Jos,5,2024-10-05 15:15:13
Azriel Alfarizdi,Baguss,1,2024-10-05 15:04:32
Rini Suryani,Mantap,5,2024-10-05 14:11:57
Eki Adi Ramadhan,Terimkasih sudah membantu..,5,2024-10-05 13:35:05
siska septiana,"ini gmn si BNI makin lama malah gak makin jelas Mbanking nya, login aja gak bisa krna perbaikan2 terus, mau sampe kapan perbaikan???",1,2024-10-05 12:09:27
ɪᴍ ᴅɪɴ,Parah ribet kali buat kartu debit terakhir mau foto ulang dari awal lagi,1,2024-10-05 11:31:50
Neo Garut,Baik,5,2024-10-05 11:26:28
LUKAS GLORY,Terlalu banyak terjadi error dan gangguan. Makin kesini dungsi aplikasi makin kacau,3,2024-10-05 11:21:39
Daffa A,Mobile bni kek ee lemot gk kaya mbanking yg lain,1,2024-10-05 11:00:41
Agung Supriyadi,Selalu error pada saat Kirim e-wallet,1,2024-10-05 10:49:57
Yuspan upank,"Pokoknya aplikasi BNI jelek, saat digunakan hal mendesak selalu ada perbaikan coba sesaat lagi, sekalian tulis diketerangan coba setahun lagi,",1,2024-10-05 09:53:12
WongKes PS,"Susah log in, penurunan kualitas... fix tutup rekening. (Pindah bank)",1,2024-10-05 08:34:22
Ridwan Kasno,Sangat baik,5,2024-10-05 07:50:37
Rizki Ananda,Aplikasi gk jelas.asik perbaikan saja,1,2024-10-05 07:19:16
Kasiku NR,"Tadi malam saya melakukan transaksi eror, namun saat saya close ternyata saldonya sudah terpotong dan saya cek di story transaksi memang ad namun di bukti transaksi nya kosong, dan sudah saya cek ke no rek yang saya Transfer uangnya gak ad masuk, ini tidak tindakan sudah saya hubungi BNI center dan tanggapan gak ad mohon di perbaiki bug atau apalah yang sangat merugikan ini",1,2024-10-05 05:46:00
Prapto Wibowo,Mau login aja susah alasan yang server sedang peningkatan twrus,1,2024-10-05 05:41:53
Iamdanu Ramadhan,GA JELAS,1,2024-10-05 05:36:00
Sri Indarti,"kenapa sekarang Mbanking BNI susah sekali digunakan, setiap mau login selalu maintenance.. tolong dong diperbaiki segera.. terimakasih",4,2024-10-05 05:04:35
Aiko Putri,Kenapa ya mau buka aplikasi mobile banking kok tidak bisa dibuka. Padahal mau transfer lewat mobile banking kok tidak bisa digunakan. Kok kecewa sama aplikasi ini.,2,2024-10-05 04:44:55
Afri Anor,mantap,5,2024-10-05 03:08:30
Ahmad Rusdi,Knp semenjak di update login aja susah alasan sistem dalam perbaikan terus,4,2024-10-05 02:53:26
Dewantara,"Awal nya enak pake bni mobile tpi kok skrng mau login susah bangt selalu aja muncul ""mohon maaf kami sedang meningkatkan layanan"". Ga rekomend lagi apk ini",1,2024-10-05 02:43:30
Dheni Wae,Tdk nyaman dlm penggunaan susah log in,1,2024-10-05 01:50:12
dyan santoso,Baik,5,2024-10-05 01:06:33
Tonang,Aplikasi bank terburuk gangguan teruss,1,2024-10-05 00:49:36
Bambang Ismail,Susah login,1,2024-10-04 22:39:52
Lani Sahlani,👍🏻🫶🏻😍🥰😘🙏🏻,5,2024-10-04 20:00:08
Agus Naim,"TRANSFER ""GAGAL"" SALDO SUDAH KEPOTONG DI CEK BUKTI TRANSFER TIDAK ADA TAPI KENAPA DI RIWAYAT TRANSAKSI SUKSES Jangan sampai ketemu kendala di BNI. Kenapa? Karena Pelayanan Customer Service nya terlihat Tidak Niat menanggapi Permasalahan yang di alami oleh Nasabahnya. Mulai pelayanan Customer Service yang Antrinya ga NGOTAK nunggu berjam-jam ketika Kita tidak respon dalam waktu Tidak ada 1menit pun langsung dj Batalkan oleh sepihak. Pelayanan pengaduan sangat KONYOL",1,2024-10-04 19:54:59
Alif Zainul Ikhsan,"Halaman pengisian otp tidak muncul terus tolong segera di perbaiki email otp masuk namun layar layar tidak berpindah layer, cape banget bulak balik atm🥲",1,2024-10-04 19:17:19
gilbert zhay,Makin buruk banget aplikasi mbankin nya ini. Gk ada niat klen bagusinnya?!,1,2024-10-04 18:35:39
Didik Ces,Tutup aja bni makin parah,1,2024-10-04 18:25:13
Harley Bawanda,Semenjak ada app wondr mau melakukan penarikan tanpa kartu susah bingitsss😪😭,5,2024-10-04 16:47:13
Fahrul Rozi,"TIAP HARI !! TIAP MENIT TIAP DETIK GANGUAN , KETERANGAN PEMBAHARUAN DLL DARI BNI !!! INI KALO LAGI URGENT SUSAH MINTAK AMPUUN!!! SELALU MENINGKATKAN LAYANAN SETIAP HARI GITU TERUUSS",4,2024-10-04 15:29:21
Kolon Boun,Sangat membantu,5,2024-10-04 15:20:16
Bagas Jambi,Tolong dong perbaikan nya mau transaksi jadi terhambat log in aja susah banget,4,2024-10-04 15:17:19
Bond Hauw,"Buruk, transfer gagal terus padahal saldo masih ada. 😡",2,2024-10-04 15:09:17
dwi adi,Tlong upgrade untuk TF ke bank BPD KALTIM blm ada,4,2024-10-04 13:26:09
Joni Haryanto,"Makin hari, makin sampah aplikaai BNI",1,2024-10-04 13:07:57
Kurniawan Alip,Parah banget aplikasi BNI mobile ini saya mau login masih dalam kendala teros Sedangkan saya butuh,1,2024-10-04 12:33:35
Budi Rahwanto,Gak masuk akal tinggl verifkasi wajah 20kli ggl trus....jngn² indentitas ini mlh masuk pinjol.awas smpai kyk gt,1,2024-10-04 12:31:25
Akbar Nur,Bank paling ribettttt sedunia. Udah paling bagus bank BCA. Kalah jauhh nih BNI,1,2024-10-04 12:19:21
semprong channel,Maaf kak kenapa BNI Mobile saya eror gk bisa trasfer?,3,2024-10-04 12:01:36
sandika anggara,buruk,1,2024-10-04 11:04:31
Anggi 123,Dari tadi gakk bisa trus dalam perbaikan Aneh kali aku,5,2024-10-04 09:13:04
danny bahar,"Log in susah sekali, selalu sedang meningkatkan layanan, kalau memang mau beralih ke wondr, kenapa gak pengguna BNI mobile banking yg lama, updatenya lgsg ubah ke wondr aja.",1,2024-10-04 08:53:18
ANGGA CB,"Tolong bos log,in dipercepat, masa kalah sama BRI yang semua jaringan bisa dibuka",1,2024-10-04 08:51:57
Andy Mengi,Sangat cepat dan tidk terhmbat,5,2024-10-04 06:32:18
Muhmmad Rizqi,"Gangguan login karena ""aplikasi sedang dalam perbaikan"". Intinya karena gagal login saya pelanggan saya kabur ke lain gak bisa isi pulsa di tempat saya. Maka dia minta isi 100 k rasanya rugi banget pelanggan saya kabur.",1,2024-10-04 06:28:17
KhoirulUmam Muhammad,Mohon maaf mengganggu pihak bank BNI. Ada oknum BNI di besuki situbondo yang kurang melayani terhadap pelayan.. Dan terlihat memberikan pelayanan yang sulit.. Mohon maaf!!,1,2024-10-04 05:38:19
irwan,"Tolong kepada development, kembalikan fitur setor tunai tanpa, agar lebih memudahkan pengunaan nya 😤",3,2024-10-04 03:49:15
dimas ramadhan,"beli pulsa lewat m banking malah cuma dapet email tertunda dalam proses saldo berkurang tapi pulsa belum masuk juga,rugi punya apk tapi ga guna kek gini beli pulsa nominal besar 2 nomer malah gada yang masuk",1,2024-10-04 03:11:24
ANAK Kecil,mau buka rekening ribet amat!,1,2024-10-04 02:48:35
Jayanti W,Susah banget mau register. Padahal udah terkirim kode otp nya,2,2024-10-04 00:18:53
『Restu』 Sandi Ramadhan,"Apk jahanam, udah bener masukin Mpin tiba² loading lama tiba² juga keblokir mpinnya, karena salah 3x , giliran diganti ""TIDAK BOLEH MENGGUNAKAN MPIN LAMA"", YG BERARTI MPIN NYA YANG SEBELUMNYA DIMASUKIN BENER DONG NGGAK SALAH, KENAPA TADI DISEBUT MPIN NYA SALAH ??!!!!!!!",1,2024-10-04 00:02:57
Aulia Megaputri,Mantap,5,2024-10-03 22:58:25
Akmal Qurniawan,Susah mau login,1,2024-10-03 22:24:46
Martabakitaly Italy,parahh mau tf gagal terus sinyak bagus parah si ini,1,2024-10-03 19:24:25
Fariz Irfan Rifai,tf ke dana gagal terus,3,2024-10-03 17:47:56
Anisa Soleha,"banyak problem nya, login susah, pas udah login sesi habis, baru juga masuk bjir masa udah kluar lgi, transaksi macet Mulu mohon ya per baikannya, apk sebelah nya juga sama",1,2024-10-03 17:22:53
Aria V,Penanganan complaint sangat lama,1,2024-10-03 16:52:56
rizen rahmad,"Parah, banget ini aplikasi. Gangguan mulu... Menggangu sekali",1,2024-10-03 15:35:28
Deni Masrial,Mantap,5,2024-10-03 14:23:44
Ismiyanto Anto,"Kok banyak banget yg ngasih reting 1 ya, apa karna suruh pakai aplikasi yg baru,",5,2024-10-03 14:21:17
Maz Iman,"Sering tidak dapat login dengan tampilan layar ""mohon maaf kami sedang meningkatkan layanan mobile banking, silahkan coba kembali.""",3,2024-10-03 13:47:47
Muhammad Nasrulloh,Masa Buat Login aja ga bisa setelah merubah kata sandinya mohon di percepat perbaikinya untuk mempermudah transaksi lainnya sebab di wondr bni masih belum mendukung untuk banyak fitur lainnya.,2,2024-10-03 12:28:07
Lista Fitrianti,"tolong diperbaiki, kenapa setiap login sistem dalam perbaikan, selama kurleb 2 bualan g bisa login... diperbaiki secepatnya, karena sangat menghambat transaksi",2,2024-10-03 12:11:59
fajar septiawan,"Mau topup ke dompet digital aj nama pengirimnya ga dilengkapin. Alhasil karena typo jadi salah topup dan malah kekirim ke orang lain. Luar bisa user friendlynya, sangat merugikan, kalo gaterpaksa pake ini mending uninstal deh!!!!",1,2024-10-03 11:57:51
TRIYA Sanusi,semenjak ada wondr bni Makin kesini apps bni mobile tidak bisa login dengan. dan selalu log out dan crash. Sumpah ini saagat mengganggu,1,2024-10-03 11:56:24
Nathan Ramadhani,Fitur Customer Service nya terlalu lama mendapatkan agen untuk Live Chat,3,2024-10-03 11:38:07
Delon Yosi,"Kalau masalah aplikasi sudah bagus sekali Tapi 1 kekurangan yang yaitu kalau kita tarik tunai tanpa kartu di kenakan biaya pulsa, dan ini kalau contohnya customer tidak bahwa ATM dan tidak punya uang di saku tidak bisa tarik tunai tanpa kartu dan sangat merepon customer padahal bank BNI milik negara indonesia. Tidak sama dengan bank BRI yang kira tarik tunai tanpa kartu Tidak di kenakan biaya pulsa padahal kalau mau di bilang bank BNI dan Bank BRI punya negarai Indonesia",5,2024-10-03 10:02:21
Silvy Oktavia,"Bni mobil bangking sekrang lemot sekali untuk login, tolong dong di perbaiki lagi",1,2024-10-03 09:36:12
Andri Mardiana,Hallo bni mohon bantuannya untuk login ke dalam mbanking saya yg nomor hp nya hilang,3,2024-10-03 09:17:27
Angga Afriansyah Budiman (Stacia),"Kenapa akhir² ini sering banget gagal login dengan peringatan ""Sedang meningkatkan kualitas layanan mobile banking, mohon coba lagi beberapa saat lagi""? Hal ini menghambat transaksi dan membuat tidak nyaman.",2,2024-10-03 08:58:38
Rajuddin 3009,"Knp aplikasi BNI ini, kok tidak bisa dibuka, asal di buka loading habis tu balik ke menu lgi, tolong lh Di perbaiki sistem nya ini..",1,2024-10-03 08:53:00
Jovia Idhi Pamungkas,"Sistem TF di mobile Banking tiap akhir maupun awal bulan sistem error terus,Apps Wondr juga tidak bisa transfer alasanya sedang ada perbaikan TIM,Payah Ah",1,2024-10-03 08:37:43
Abdul karim andi,Bagus,5,2024-10-03 06:38:09
Nadha Bass,verifikasi ..masuk kok gak di kirim kirim.. mending gak usah buat aplikasi kalau susah,2,2024-10-03 06:26:36
Dede Sulaeman,💯,5,2024-10-03 06:13:12
ERNAWAN HADIYANTO,Fitur Pembayaran via QRIS bermasalah terus tidak bisa masuk ke layar scan barcode nya,4,2024-10-03 04:48:07
Azhard Ku,"Sering gangguan, aneehhhh",1,2024-10-03 04:39:14
Ucup Kamprett,"Mau aktifasi aja habisin pulsa , gagal terus cuma karena no verifikasi nya telat muncul di email, ribet amat",1,2024-10-03 04:04:06
Dena Pitria,"Gabisaa masuk ka, stiap msuk ada tulisan aplikasi telah berhenti kira kira solusi untuk ini gimna ya?apa hrus d updte tapi d play store nya jga gda untuk apdte an bhkan saya downld wondr by bni juga sma terlalu banyak kendala. Tolong d perbaiki lagi ka saya sangat tidak nyaman krna hal ini🙏🏻",2,2024-10-03 04:03:52
Nay Djho,Buruk. Kirim kode otp.. di kirim ke email ga ada ke no WhatsApp seluler ga ada. Heran !,1,2024-10-03 03:03:04
reni arnita,Gak bisa login mulu. Sudah d uninstal lalu download lg masih gt jg. Parah emang. Padahal lg butuh banget,1,2024-10-03 03:00:47
ohayouino,"Susah sekali log in nya ,sedang ada perbaikan sistem udah dicoba puluhan kali nggak pernah masuk, transaksi jadi terhambat,tolong diperhatikan",2,2024-10-03 01:45:23
Didik Sriana,sekarang habis di perbarui sering gangguan gagal transaksi,1,2024-10-02 19:21:26
oky hendra,susah bnr instal masuk ke mbangking bni selalu gagal di mpin.apa ga cara lain agar lebih simpel cara masuknya ...trima kasih,5,2024-10-02 18:07:24
Sofyan Tegar,Tolol sistem troble mulu,1,2024-10-02 17:27:28
Agus Taufik Hasibuan,Bagus,5,2024-10-02 17:25:36
Nurhalisah Oppoa1k,Kereeeeeen banget,5,2024-10-02 15:50:41
Mhd Taufik,Kok sering GK bisa masuk y,1,2024-10-02 15:29:42
Faizal Yusuf,"Min kenapa di aplikasi bni mobile sekarag kagak bisa transaksi tanpa kartu setor tunai ? Terus di aplikasi wondr belum ada transaksi tanpa kartu juga, tolong dong developer nya di update di aplikasi wondr agar bisa transaksi tanpa kartu di aplikasi wondr sama bni mobile juga gak bisa setor tunai tanpa kartu, makasih min",5,2024-10-02 14:44:11
Danu Rohman,"Dikit-dikit muncul perbaikan sistem, padahal ga ada masalah apa-apa",1,2024-10-02 14:41:26
Rahmat Hidayatulloh,Terimakasih Atas Konfirmasi dan vertipikasinya,5,2024-10-02 14:41:22
Nadya Anom,APLIKASI TERLELET DIANTARA APLIKASI E WALLET LAIN,1,2024-10-02 14:16:19
nopvita windi,Di menu awal ada tulisan chat agent live. Tapi nunggunya di bls 2 jam. Sekali di bls pelanggan lengah dikit langsung end chat. Mana tanya nya receh udh ada pelaporan belum. Namanya komplain ya belumlah. Komplain lewat semua kontak center aja udh 2 jam g bls bls. Fast respon dong,1,2024-10-02 12:54:09
nnn ddd,Mau bikin kartu debit tapi tidak bisa. Aplikasinya bermasalah tiap daftar,1,2024-10-02 11:38:22
Helmus Paulus,Kenapa saat kirim wa verifikasi tidak ada balasan sama sekali? Apa operator ketiduran?,1,2024-10-02 11:18:39
diyana nika,Hati hati eror di pembelian saldo kepotong transaksi gagal.,1,2024-10-02 10:07:44
Sasi Niko,Percobaan pertama,4,2024-10-02 09:59:07
boris 99,"Mau downlod gk jadi,, bnyak keluhan dari pengguna",3,2024-10-02 08:06:34
Wira Sigindjai,"Terlalu sering meningkatkan layanan, bikin susah transaksi",1,2024-10-02 07:37:01
Dian Maheswara,Ok,5,2024-10-02 07:29:45
Muhammad Ferdy Saputro,"Apk bangsadd,, mau login aj ribettt,, pake feriv kode, itupun berjam² ga dpt kode dri wa,,",1,2024-10-02 07:19:08
Chofidotur Ropiah,"Ribet banget dah.. mau login aja susah, statusnya dalam perbaikan Mulu Mau transaksi jadi gak bisa. Tolong dong cepet di perbaiki.",3,2024-10-02 07:12:27
Freddy Ceantury,Kenapa saya tidak bisa login ke aplikasi ini,5,2024-10-02 06:41:05
Aliend,"Ganti saja jajaran pejabat divisi BNI yang bertanggung jawab mengurus mobile banking BNI, daripada gak becus mengurus Mobile Banking lemot. Nasabah sangat terganggu dan dirugikan.",1,2024-10-02 06:10:47
Eva Winda,Sudah seminggu gabisa login Pemeliharaan ga selsai selesai,2,2024-10-02 05:55:55
Vicky Honda,"BNI Mobile Banking, makin gak karuan, sering banget gangguan, kacau nian,,, sya kurang'i dlu bintang nya jadi 2 Bintang, kalo sdh bener bru sya ksh bintang 5 lg",2,2024-10-02 05:54:12
MAS ENDI SMS,"Apakah aplikasi ini mau di ganti sama wonder ,,, ?",1,2024-10-02 05:50:03
Kirigaya Kirito,Bikin susah ribed,1,2024-10-02 05:35:00
Reza,"Gara gara ada wondr susah kali mau login, apa kami harus migrasi ke wondr, pasti kalo login ada terus peningkatan layanan mau pagi siang malam, tolong berikan segera solusinya kalau gak mau nasabahnya pindah",4,2024-10-02 05:28:40
Akhmad Yulianto,Customer service/live agent lama sekali nyambungnya,1,2024-10-02 05:17:37
Aris Budiyono,Sangat menjengkelkan,1,2024-10-02 04:51:21
hari riadi,topup ke ewallet dana jd susah. saya sangat kecewa,1,2024-10-02 03:50:08
Xena Love MeyL. A/N,Sangat membantu kita,5,2024-10-02 03:42:16
Bahri Saripul,"Kenapa BNI mobil banking saat ini kalau di gunakan selalu terhenti,tidak dapat masuk ke aplikasi,apakah ada kendala di server BNI???",5,2024-10-02 03:13:57
Anisa Nurlinggabuana,Bni mobile banking ribed minta otp aja bls sms ya lama banget. Ngabisin pulsa doang 😡😡😡,1,2024-10-02 02:15:40
Riki Arimaltin,Mau login aja susah,1,2024-10-02 00:47:56
HERI AJIANSYAH,"Verifikasi wajahnya selalu tidak terdeteksi,nomor otp lambat terkirim ke email bulak balik SDH 6 x percobaan sangat menyusahkan",1,2024-10-01 23:29:00
Salim,"Saya transaksi pembelian pulsa 200 ribu, keterangannya gagal tapi saldo saya terpotong sedangkan pulsanya tidak ada yang masuk, call center BNI juga sangat lambat respon",1,2024-10-01 22:42:08
